Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
HINDALCO,30-Jun-2022,28-Jul-2022,345.35,349.70,337.75,339.10,338.25,339.10,26994.00,99227.18,42878525.00,4216150.00,-
HINDALCO,30-Jun-2022,30-Jun-2022,342.95,348.95,337.10,339.75,337.60,338.65,17949.00,65892.53,2000575.00,-11400375.00,-
HINDALCO,30-Jun-2022,25-Aug-2022,345.15,348.65,336.90,338.25,337.85,338.25,394.00,1444.17,1190025.00,199950.00,-
HINDALCO,29-Jun-2022,28-Jul-2022,340.15,345.90,336.25,344.80,344.95,344.80,18245.00,67221.09,38662375.00,9159000.00,-
HINDALCO,29-Jun-2022,30-Jun-2022,339.00,345.20,335.20,344.00,344.30,344.00,19130.00,70264.74,13400950.00,-9558900.00,-
HINDALCO,29-Jun-2022,25-Aug-2022,336.75,344.40,335.00,343.65,343.10,343.65,247.00,905.47,990075.00,107500.00,-
HINDALCO,28-Jun-2022,28-Jul-2022,328.60,345.70,326.60,344.00,344.40,344.00,19378.00,69939.86,29503375.00,9233175.00,-
HINDALCO,28-Jun-2022,30-Jun-2022,327.85,344.60,325.55,343.15,343.40,343.15,21206.00,76308.16,22959850.00,-10001800.00,-
HINDALCO,28-Jun-2022,25-Aug-2022,324.10,343.20,324.10,342.45,342.05,342.45,269.00,964.14,882575.00,62350.00,-
HINDALCO,27-Jun-2022,30-Jun-2022,326.65,338.85,326.65,330.15,329.25,330.15,22140.00,79369.47,32961650.00,-8793500.00,-
HINDALCO,27-Jun-2022,28-Jul-2022,331.90,339.65,327.85,331.05,330.45,331.05,15736.00,56584.47,20270200.00,9411625.00,-
HINDALCO,27-Jun-2022,25-Aug-2022,327.00,336.50,326.00,328.90,328.00,328.90,233.00,830.22,820225.00,11825.00,-
HINDALCO,24-Jun-2022,30-Jun-2022,320.95,325.70,316.85,322.20,322.40,322.20,12532.00,43345.33,41755150.00,-3207800.00,-
HINDALCO,24-Jun-2022,25-Aug-2022,319.00,323.45,316.85,320.50,320.60,320.50,251.00,865.33,808400.00,64500.00,-
HINDALCO,24-Jun-2022,28-Jul-2022,318.95,326.55,317.70,323.10,323.25,323.10,7229.00,25068.52,10858575.00,3249725.00,-
HINDALCO,23-Jun-2022,30-Jun-2022,317.80,327.50,311.15,318.25,318.70,318.25,14610.00,50065.23,44962950.00,-80625.00,-
HINDALCO,23-Jun-2022,28-Jul-2022,320.90,328.00,312.05,318.95,319.95,318.95,4569.00,15664.94,7608850.00,1632925.00,-
HINDALCO,23-Jun-2022,25-Aug-2022,318.05,326.15,309.95,316.90,317.85,316.90,242.00,823.43,743900.00,39775.00,-
HINDALCO,22-Jun-2022,28-Jul-2022,335.35,335.35,316.80,317.80,318.35,317.80,4382.00,15173.77,5975925.00,1827500.00,-
HINDALCO,22-Jun-2022,30-Jun-2022,333.95,334.00,315.95,317.00,317.30,317.00,17031.00,58841.57,45043575.00,995450.00,-
HINDALCO,22-Jun-2022,25-Aug-2022,330.70,330.70,315.65,316.50,316.85,316.50,206.00,711.17,704125.00,78475.00,-
HINDALCO,21-Jun-2022,25-Aug-2022,327.25,342.00,325.70,338.05,338.30,338.05,204.00,729.63,625650.00,-16125.00,-
HINDALCO,21-Jun-2022,30-Jun-2022,328.25,343.75,326.00,339.20,339.90,339.20,18976.00,68189.41,44048125.00,33325.00,-
HINDALCO,21-Jun-2022,28-Jul-2022,328.80,344.55,326.70,340.00,340.70,340.00,3167.00,11425.04,4148425.00,618125.00,-
HINDALCO,20-Jun-2022,28-Jul-2022,333.35,335.00,310.25,322.60,324.30,322.60,3059.00,10475.74,3530300.00,218225.00,-
HINDALCO,20-Jun-2022,25-Aug-2022,330.15,331.00,309.45,321.80,323.25,321.80,326.00,1110.55,641775.00,81700.00,-
HINDALCO,20-Jun-2022,30-Jun-2022,332.30,334.50,309.35,321.90,323.95,321.90,19112.00,65338.14,44014800.00,382700.00,-
HINDALCO,17-Jun-2022,28-Jul-2022,334.35,344.60,327.70,334.90,335.45,334.90,2230.00,8039.93,3312075.00,262300.00,-
HINDALCO,17-Jun-2022,25-Aug-2022,330.00,342.75,327.10,334.00,334.35,334.00,145.00,524.87,560075.00,34400.00,-
HINDALCO,17-Jun-2022,30-Jun-2022,332.75,343.55,326.70,334.00,334.75,334.00,14713.00,53029.04,43632100.00,391300.00,-
HINDALCO,16-Jun-2022,28-Jul-2022,363.55,363.55,334.55,337.60,335.00,337.60,1617.00,6041.62,3049775.00,605225.00,-
HINDALCO,16-Jun-2022,30-Jun-2022,357.75,363.30,333.60,336.75,334.00,336.75,15535.00,57990.52,43240800.00,748200.00,-
HINDALCO,16-Jun-2022,25-Aug-2022,361.05,361.05,333.85,335.80,333.90,335.80,297.00,1102.38,525675.00,112875.00,-
HINDALCO,15-Jun-2022,28-Jul-2022,362.20,364.45,358.55,359.85,360.00,359.85,464.00,1802.31,2444550.00,116100.00,-
HINDALCO,15-Jun-2022,25-Aug-2022,360.20,363.00,358.00,358.75,359.10,358.75,55.00,212.76,412800.00,21500.00,-
HINDALCO,15-Jun-2022,30-Jun-2022,361.10,363.65,357.15,358.75,359.35,358.75,6784.00,26257.47,42492600.00,51600.00,-
HINDALCO,14-Jun-2022,28-Jul-2022,365.70,371.85,359.65,360.75,360.70,360.75,1320.00,5193.69,2328450.00,605225.00,-
HINDALCO,14-Jun-2022,30-Jun-2022,365.00,370.85,358.60,359.40,359.60,359.40,10021.00,39226.28,42441000.00,1188950.00,-
HINDALCO,14-Jun-2022,25-Aug-2022,366.10,370.35,358.95,359.35,359.60,359.35,111.00,433.93,391300.00,19350.00,-
HINDALCO,13-Jun-2022,30-Jun-2022,378.20,378.20,361.45,367.10,367.50,367.10,9763.00,38655.60,41252050.00,1070700.00,-
HINDALCO,13-Jun-2022,25-Aug-2022,375.60,375.60,361.80,366.80,367.75,366.80,135.00,533.73,371950.00,64500.00,-
HINDALCO,13-Jun-2022,28-Jul-2022,379.45,379.45,362.95,368.25,369.35,368.25,875.00,3469.16,1723225.00,241875.00,-
HINDALCO,10-Jun-2022,28-Jul-2022,393.50,393.90,385.60,388.65,388.00,388.65,887.00,3713.28,1481350.00,265525.00,-
