Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
HINDALCO,31-Dec-2020,25-Feb-2021,237.65,242.55,236.95,241.25,240.95,241.25,65.00,670.46,399900.00,86000.00,777.70
HINDALCO,31-Dec-2020,31-Dec-2020,235.40,242.00,234.75,240.85,238.80,240.55,2861.00,29243.45,3087400.00,-5319100.00,777.70
HINDALCO,31-Dec-2020,28-Jan-2021,236.05,242.45,235.90,241.10,239.70,241.10,5723.00,58816.42,26556800.00,4889100.00,777.70
HINDALCO,31-Dec-2020,25-Mar-2021,-,-,-,-,-,-,-,-,-,-,777.70
HINDALCO,30-Dec-2020,25-Feb-2021,235.75,241.30,235.75,239.60,239.25,239.60,36.00,367.64,313900.00,34400.00,777.70
HINDALCO,30-Dec-2020,28-Jan-2021,236.40,240.60,234.05,238.80,238.00,238.80,3774.00,38524.25,21667700.00,4579500.00,777.70
HINDALCO,30-Dec-2020,31-Dec-2020,235.60,239.50,233.00,237.60,236.70,237.60,3375.00,34277.86,8406500.00,-4910600.00,777.70
HINDALCO,29-Dec-2020,25-Feb-2021,241.15,241.70,237.00,237.10,237.00,237.10,22.00,225.83,279500.00,55900.00,777.70
HINDALCO,29-Dec-2020,28-Jan-2021,243.35,243.35,235.75,237.05,236.30,237.05,3125.00,32043.60,17088200.00,7301400.00,777.70
HINDALCO,29-Dec-2020,31-Dec-2020,242.10,242.60,234.70,236.00,235.25,236.00,4408.00,44976.38,13317100.00,-6415600.00,777.70
HINDALCO,28-Dec-2020,25-Feb-2021,242.65,243.55,241.70,242.75,242.70,242.75,18.00,187.98,223600.00,30100.00,777.70
HINDALCO,28-Dec-2020,28-Jan-2021,241.00,242.50,239.45,241.65,241.95,241.65,2148.00,22274.54,9786800.00,4545100.00,777.70
HINDALCO,28-Dec-2020,31-Dec-2020,240.00,241.80,238.55,240.60,241.05,240.60,3694.00,38169.94,19732700.00,-4029100.00,777.70
HINDALCO,24-Dec-2020,31-Dec-2020,238.40,245.50,236.75,237.70,237.60,237.70,6749.00,69781.78,23761800.00,-546100.00,777.70
HINDALCO,24-Dec-2020,25-Feb-2021,246.05,246.05,239.00,239.00,239.00,238.70,6.00,62.41,193500.00,-4300.00,777.70
HINDALCO,24-Dec-2020,28-Jan-2021,239.55,246.25,237.75,238.60,238.50,238.60,1083.00,11214.65,5241700.00,653600.00,777.70
HINDALCO,23-Dec-2020,25-Feb-2021,230.70,239.70,230.70,239.70,239.70,239.70,9.00,90.72,197800.00,8600.00,777.70
HINDALCO,23-Dec-2020,28-Jan-2021,230.40,239.35,229.20,238.15,239.00,238.15,699.00,7048.24,4588100.00,507400.00,777.70
HINDALCO,23-Dec-2020,31-Dec-2020,232.30,238.35,228.35,237.00,238.10,237.00,5823.00,58449.50,24307900.00,425700.00,777.70
HINDALCO,22-Dec-2020,28-Jan-2021,238.35,240.10,228.70,233.65,233.45,233.65,801.00,8018.30,4080700.00,898700.00,777.70
HINDALCO,22-Dec-2020,31-Dec-2020,234.20,239.60,227.80,232.90,232.45,232.90,6926.00,69144.22,23882200.00,240800.00,777.70
HINDALCO,22-Dec-2020,25-Feb-2021,235.60,235.80,230.00,232.70,232.70,233.65,10.00,100.20,189200.00,-,777.70
HINDALCO,21-Dec-2020,28-Jan-2021,248.35,250.80,230.70,233.90,233.00,233.90,699.00,7239.37,3182000.00,774000.00,777.70
HINDALCO,21-Dec-2020,31-Dec-2020,247.10,250.25,229.70,232.85,231.95,232.85,6746.00,69482.61,23641400.00,-1079300.00,777.70
HINDALCO,21-Dec-2020,25-Feb-2021,247.85,251.00,233.30,233.30,233.30,233.30,26.00,275.26,189200.00,64500.00,777.70
HINDALCO,18-Dec-2020,31-Dec-2020,247.20,251.90,245.70,250.25,249.85,250.25,4901.00,52482.72,24720700.00,-842800.00,777.70
HINDALCO,18-Dec-2020,28-Jan-2021,249.35,252.50,247.10,251.25,251.00,251.25,520.00,5582.03,2408000.00,1023400.00,777.70
HINDALCO,18-Dec-2020,25-Feb-2021,250.05,251.65,247.85,251.65,251.65,251.65,9.00,96.60,124700.00,38700.00,777.70
HINDALCO,17-Dec-2020,25-Feb-2021,-,-,-,250.00,250.00,247.85,-,-,86000.00,-,777.70
HINDALCO,17-Dec-2020,28-Jan-2021,253.65,256.05,246.45,247.30,247.35,247.30,240.00,2591.36,1384600.00,331100.00,777.70
HINDALCO,17-Dec-2020,31-Dec-2020,252.60,255.40,245.55,246.60,246.60,246.60,5214.00,56204.08,25563500.00,335400.00,777.70
HINDALCO,16-Dec-2020,31-Dec-2020,248.15,252.25,246.55,251.75,252.00,251.75,5661.00,60737.61,25228100.00,-236500.00,777.70
HINDALCO,16-Dec-2020,28-Jan-2021,248.60,253.05,248.00,252.80,252.70,252.80,220.00,2371.65,1053500.00,60200.00,777.70
HINDALCO,16-Dec-2020,25-Feb-2021,250.00,250.00,250.00,250.00,250.00,253.55,1.00,10.75,86000.00,-,777.70
HINDALCO,15-Dec-2020,25-Feb-2021,246.05,247.35,245.95,247.35,247.35,246.60,8.00,84.80,86000.00,12900.00,777.70
HINDALCO,15-Dec-2020,28-Jan-2021,245.95,247.80,244.30,246.55,246.60,246.55,209.00,2212.93,993300.00,227900.00,777.70
HINDALCO,15-Dec-2020,31-Dec-2020,246.40,246.75,243.45,245.65,245.85,245.65,4992.00,52647.55,25464600.00,-68800.00,777.70
HINDALCO,14-Dec-2020,31-Dec-2020,245.45,248.45,244.75,246.85,246.60,246.85,3113.00,33021.78,25533400.00,-1186800.00,777.70
HINDALCO,14-Dec-2020,25-Feb-2021,249.00,249.00,248.60,248.60,248.60,248.45,2.00,21.40,73100.00,-,777.70
HINDALCO,14-Dec-2020,28-Jan-2021,249.25,249.25,246.25,247.60,247.40,247.60,73.00,776.62,765400.00,-25800.00,777.70
HINDALCO,11-Dec-2020,28-Jan-2021,246.25,249.30,242.60,244.80,244.25,244.80,96.00,1017.50,791200.00,30100.00,777.70
HINDALCO,11-Dec-2020,31-Dec-2020,244.95,248.50,241.30,243.90,243.75,243.90,4631.00,48824.06,26720200.00,-1135200.00,777.70
HINDALCO,11-Dec-2020,25-Feb-2021,-,-,-,244.90,244.90,245.80,-,-,73100.00,-,777.70
HINDALCO,10-Dec-2020,31-Dec-2020,239.95,246.50,239.05,243.50,243.55,243.50,7467.00,78040.51,27855400.00,1840400.00,777.70
HINDALCO,10-Dec-2020,25-Feb-2021,243.15,244.90,243.15,244.90,244.90,244.90,9.00,94.40,73100.00,-4300.00,777.70
HINDALCO,10-Dec-2020,28-Jan-2021,238.00,247.00,238.00,244.10,244.10,244.10,205.00,2149.34,761100.00,77400.00,777.70
HINDALCO,09-Dec-2020,31-Dec-2020,247.90,248.70,241.35,242.50,243.05,242.50,4791.00,50322.32,26015000.00,1113700.00,777.70
HINDALCO,09-Dec-2020,25-Feb-2021,250.00,250.00,243.00,243.75,244.50,243.75,9.00,95.71,77400.00,4300.00,777.70
HINDALCO,09-Dec-2020,28-Jan-2021,251.70,251.70,242.15,243.25,243.65,243.25,110.00,1158.71,683700.00,90300.00,777.70
HINDALCO,08-Dec-2020,31-Dec-2020,251.15,253.10,245.25,246.95,246.65,246.95,5242.00,55997.57,24901300.00,-898700.00,777.70
HINDALCO,08-Dec-2020,25-Feb-2021,253.65,253.65,248.00,248.60,248.60,247.95,11.00,118.72,73100.00,-,777.70
HINDALCO,08-Dec-2020,28-Jan-2021,254.00,254.00,246.30,247.75,247.55,247.75,83.00,889.83,593400.00,12900.00,777.70
HINDALCO,07-Dec-2020,28-Jan-2021,253.65,254.65,251.05,252.45,252.25,252.45,71.00,770.10,580500.00,51600.00,777.70
HINDALCO,07-Dec-2020,25-Feb-2021,253.00,254.50,252.15,252.50,252.50,253.60,14.00,152.29,73100.00,-,777.70
HINDALCO,07-Dec-2020,31-Dec-2020,252.30,254.60,249.50,251.75,251.80,251.75,4899.00,52967.56,25800000.00,-885800.00,777.70
HINDALCO,04-Dec-2020,25-Feb-2021,247.20,256.35,247.20,254.55,254.55,255.15,25.00,270.21,73100.00,21500.00,777.70
HINDALCO,04-Dec-2020,28-Jan-2021,248.20,257.35,245.70,253.85,253.65,253.85,220.00,2384.66,528900.00,81700.00,777.70
HINDALCO,04-Dec-2020,31-Dec-2020,245.40,256.80,244.05,253.25,253.45,253.25,11492.00,124319.44,26685800.00,-847100.00,777.70
HINDALCO,03-Dec-2020,25-Feb-2021,238.00,243.00,237.45,243.00,243.00,244.40,17.00,175.70,51600.00,12900.00,777.70
HINDALCO,03-Dec-2020,28-Jan-2021,235.75,244.00,235.55,243.45,242.75,243.45,106.00,1097.29,447200.00,30100.00,777.70
HINDALCO,03-Dec-2020,31-Dec-2020,234.90,243.50,234.05,242.60,242.35,242.60,7333.00,75553.08,27532900.00,799800.00,777.70
HINDALCO,02-Dec-2020,31-Dec-2020,230.00,237.35,229.30,233.05,233.10,233.05,6208.00,62311.19,26733100.00,503100.00,777.70
HINDALCO,02-Dec-2020,25-Feb-2021,234.90,238.00,232.00,234.50,234.00,234.50,19.00,192.26,38700.00,8600.00,777.70
